	Scaffold_ID.#ID.on.Haplome.H2.3	pseudomolecule.(Chr1-Chr12).or.unassigned.scaffold	Gene.start.#on haplome.pseudo.molecule.(PM1N)	Gene.end	*Gene.length.#(in.bp UTR.+.CDS.+.introns)	Protein.definition .#Based.on.phytozome.process	"Tandem.duplication.(TDG,.LDG,.SG)"	Relationship.between.the.Diploid.and.Haploid.versions:.(1:1.=.18299.genes).1.copy.in.the.diploid.for.1.copy.in.haploid.version.-.(2:1.=.18817.genes).2.copies.in.the.diploid.for.1.copy.in.the.haploid.version.-.NA.=.6639.genes	hybSeqGeneID
Qrob_T0070960.2	Qrob_H2.3_Sc0000091	Chr2	104627190	104630532	3343	(M=1) PTHR24420//PTHR24420:SF536 - LEUCINE-RICH REPEAT RECEPTOR-LIKE PROTEIN KINASE // SUBFAMILY NOT NAMED	SG	1:01	T0070960.2
Qrob_T0078670.2	Qrob_H2.3_Sc0000002	Chr2	65686629	65688014	1386	(M=1) KOG1244//KOG1245 - Predicted transcription factor Requiem/NEURO-D4 [Transcription]. // Chromatin remodeling complex WSTF-ISWI  large subunit (contains heterochromatin localization  PHD and BROMO domains) [Chromatin structure and dynamics].	SG	NA	T0078670.2
Qrob_T0089760.2	Qrob_H2.3_Sc0000051	Chr2	29179757	29178372	1386	(M=1) K15304 - Ran-binding protein 3	SG	1:01	T0089760.2
Qrob_T0105010.2	Qrob_H2.3_Sc0000151	Chr11	16187189	16189827	2639	(M=1) K14572 - midasin	SG	1:01	T0105010.2
Qrob_T0120160.2	Qrob_H2.3_Sc0000123	Chr7	10897090	10898849	1760	(M=1) PTHR12385:SF1 - GD2B	SG	2:01	T0120160.2
Qrob_T0121360.2	Qrob_H2.3_Sc0000083	Chr2	47314133	47312587	1547	(M=1) K07561 - diphthamide synthase subunit DPH2	SG	2:01	T0121360.2
Qrob_T0147230.2	Qrob_H2.3_Sc0000033	Chr4	11441394	11442761	1368	(M=1) K01025 - [heparan sulfate]-glucosamine 3-sulfotransferase 1 [EC:2.8.2.23]	SG	1:01	T0147230.2
Qrob_T0188100.2	Qrob_H2.3_Sc0000120	Chr4	26973535	26975257	1723	(M=1) K10273 - F-box and leucine-rich repeat protein 7	SG	2:01	T0188100.2
Qrob_T0208740.2	Qrob_H2.3_Sc0000010	Chr3	13316221	13312492	3730	(M=1) KOG0550//KOG0691//KOG0712//KOG0713//KOG0715//KOG0716//KOG0717//KOG0720//KOG0721//KOG0722 - Molecular chaperone (DnaJ superfamily) [Posttranslational modification  protein turnover  chaperones]. // Molecular chaperone (DnaJ superfamily) [Posttranslational modification  protein turnover  chaperones]. // Molecular chaperone (DnaJ superfamily) [Posttranslational modification  protein turnover  chaperones]. // Molecular chaperone (DnaJ superfamily) [Posttranslational modification  protein turnover  chaperones]. // Molecular chaperone (DnaJ superfamily) [Posttranslational modification  protein turnover  chaperones]. // Molecular chaperone (DnaJ superfamily) [Posttranslational modification  protein turnover  chaperones]. // Molecular chaperone (DnaJ superfamily) [Posttranslational modification  protein turnover  chaperones]. // Molecular chaperone (DnaJ superfamily) [Posttranslational modification  protein turnover  chaperones]. // Molecular chaperone (DnaJ superfamily) [Posttranslational modification  protein turnover  chaperones]. // Molecular chaperone (DnaJ superfamily) [Posttranslational modification  protein turnover  chaperones].	SG	2:01	T0208740.2
Qrob_T0211100.2	Qrob_H2.3_Sc0000138	Chr6	4370849	4367564	3286	(M=1) K12396 - AP-3 complex subunit delta-1	SG	2:01	T0211100.2
Qrob_T0228290.2	Qrob_H2.3_Sc0000192	Chr2	39146521	39147744	1224	(M=1) PTHR23241:SF44 - LATE EMBRYOGENESIS ABUNDANT DOMAIN-CONTAINING PROTEIN (PTHR23241:SF44)	SG	2:01	T0228290.2
Qrob_T0229880.2	Qrob_H2.3_Sc0000075	Chr3	21317800	21319185	1386	(M=1) PTHR31672:SF2 - F-BOX ASSOCIATED UBIQUITINATION EFFECTOR FAMILY PROTEIN (PTHR31672:SF2)	SG	NA	T0229880.2
Qrob_T0232730.2	Qrob_H2.3_Sc0000219	Chr2	50176550	50177203	654	(M=1) PTHR11062:SF60 - EXOSTOSIN FAMILY PROTEIN (PTHR11062:SF60)	SG	2:01	T0232730.2
Qrob_T0252880.2	Qrob_H2.3_Sc0000146	Chr12	25246570	25247970	1401	"(M=1) K02370 - alpha-1,4-N-acetylglucosaminyltransferase EXTL3 [EC:2.4.1.223 2.4.1.224]"	SG	2:01	T0252880.2
Qrob_T0283010.2	Qrob_H2.3_Sc0000754	Chr10	37028239	37029309	1071	(M=1) PTHR23012:SF66 - RING/FYVE/PHD ZINC FINGER SUPERFAMILY PROTEIN (PTHR23012:SF66)	SG	2:01	T0283010.2
Qrob_T0296180.2	Qrob_H2.3_Sc0000259	Chr6	37789838	37787221	2618	(M=1) PTHR23155//PTHR23155:SF428 - LEUCINE-RICH REPEAT-CONTAINING PROTEIN // SUBFAMILY NOT NAMED	SG	2:01	T0296180.2
Qrob_T0297560.2	Qrob_H2.3_Sc0000145	Chr2	31669091	31666239	2853	(M=1) KOG4731 - Protein predicted to be involved in spindle matrix formation  contains DM13  DoH  and DOMON domains [Cell cycle control  cell division  chromosome partitioning].	SG	1:01	T0297560.2
Qrob_T0299670.2	Qrob_H2.3_Sc0000333	Chr2	28237003	28235627	1377	(M=1) PTHR31476:SF8 - EXPRESSED PROTEIN (PTHR31476:SF8)	SG	2:01	T0299670.2
Qrob_T0336130.2	Qrob_H2.3_Sc0000300	Chr5	54845221	54843968	1254	"(M=1) PTHR11040:SF26 - ZINC TRANSPORTER 6, CHLOROPLASTIC (PTHR11040:SF26)"	SG	2:01	T0336130.2
Qrob_T0337810.2	Qrob_H2.3_Sc0000025	Chr2	7267156	7270088	2933	(M=1) PTHR23024:SF131 - CARBOXYLESTERASE 2-RELATED (PTHR23024:SF131)	SG	1:01	T0337810.2
Qrob_T0340080.2	Qrob_H2.3_Sc0000215	Chr2	112609244	112610633	1390	(M=1) KOG0032//KOG0192//KOG0194//KOG0197//KOG0198//KOG0201//KOG0581//KOG0591//KOG1187//KOG3653 - Ca2+/calmodulin-dependent protein kinase  EF-Hand protein superfamily [Signal transduction mechanisms]. // Tyrosine kinase specific for activated (GTP-bound) p21cdc42Hs [Signal transduction mechanisms]. // Protein tyrosine kinase [Signal transduction mechanisms]. // Tyrosine kinases [Signal transduction mechanisms]. // MEKK and related serine/threonine protein kinases [Signal transduction mechanisms]. // Serine/threonine protein kinase [Signal transduction mechanisms]. // Mitogen-activated protein kinase kinase (MAP2K) [Signal transduction mechanisms]. // NIMA (never in mitosis)-related G2-specific serine/threonine protein kinase [Cell cycle control  cell division  chromosome partitioning]. // Serine/threonine protein kinase [Signal transduction mechanisms]. // Transforming growth factor beta/activin receptor subfamily of serine/threonine kinases [Signal transduction mechanisms].	SG	2:01	T0340080.2
Qrob_T0345400.2	Qrob_H2.3_Sc0000125	Chr12	31694313	31689844	4470	"(M=1) PTHR23135:SF4 - UDP-N-ACETYLMURAMOYLALANYL-D-GLUTAMATE--2,6-DIAMINOPIMELATE LIGASE"	SG	2:01	T0345400.2
Qrob_T0380890.2	Qrob_H2.3_Sc0000150	Chr4	32532737	32529743	2995	(M=1) PTHR23257:SF166 - PROTEIN KINASE DOMAIN CONTAINING PROTEIN	SG	2:01	T0380890.2
Qrob_T0382640.2	Qrob_H2.3_Sc0000071	Chr4	36447470	36445350	2121	(M=1) K07478 - putative ATPase	SG	2:01	T0382640.2
Qrob_T0383070.2	Qrob_H2.3_Sc0000205	Chr7	35004085	35001232	2854	"(M=1) K15113 - solute carrier family 25 (mitochondrial iron transporter), member 28/37"	SG	2:01	T0383070.2
Qrob_T0406260.2	Qrob_H2.3_Sc0000476	Chr7	16344029	16347410	3382	(M=1) KOG0192//KOG0194//KOG0197//KOG0198//KOG0444//KOG0472//KOG0581//KOG0618//KOG1094//KOG1187 - Tyrosine kinase specific for activated (GTP-bound) p21cdc42Hs [Signal transduction mechanisms]. // Protein tyrosine kinase [Signal transduction mechanisms]. // Tyrosine kinases [Signal transduction mechanisms]. // MEKK and related serine/threonine protein kinases [Signal transduction mechanisms]. // Cytoskeletal regulator Flightless-I (contains leucine-rich and gelsolin repeats) [Cytoskeleton]. // Leucine-rich repeat protein [Function unknown]. // Mitogen-activated protein kinase kinase (MAP2K) [Signal transduction mechanisms]. // Serine/threonine phosphatase 2C containing leucine-rich repeats  similar to SCN circadian oscillatory protein (SCOP) [Signal transduction mechanisms]. // Discoidin domain receptor DDR1 [Signal transduction mechanisms]. // Serine/threonine protein kinase [Signal transduction mechanisms].	SG	2:01	T0406260.2
Qrob_T0418340.2	Qrob_H2.3_Sc0000204	Chr6	56280531	56279113	1419	(M=1) PTHR15139 - TUBULIN FOLDING COFACTOR C	SG	2:01	T0418340.2
Qrob_T0464270.2	Qrob_H2.3_Sc0000403	Chr2	105461146	105458123	3024	(M=1) 1.1.1.271 - GDP-L-fucose synthase.	SG	2:01	T0464270.2
Qrob_T0484830.2	Qrob_H2.3_Sc0000004	Chr5	8814768	8817849	3082	(M=1) PTHR24015:SF52 - PENTATRICOPEPTIDE (PPR) REPEAT-CONTAINING PROTEIN	SG	2:01	T0484830.2
Qrob_T0495310.2	Qrob_H2.3_Sc0000170	Chr6	36087827	36092430	4604	(M=1) KOG0110//KOG0123//KOG0124//KOG0131//KOG0144//KOG0145//KOG0147//KOG0148//KOG0149//KOG4205 - RNA-binding protein (RRM superfamily) [General function prediction only]. // Polyadenylate-binding protein (RRM superfamily) [RNA processing and modification  Translation  ribosomal structure and biogenesis]. // Polypyrimidine tract-binding protein PUF60 (RRM superfamily) [RNA processing and modification]. // Splicing factor 3b  subunit 4 [RNA processing and modification]. // RNA-binding protein CUGBP1/BRUNO (RRM superfamily) [RNA processing and modification]. // RNA-binding protein ELAV/HU (RRM superfamily) [RNA processing and modification]. // Transcriptional coactivator CAPER (RRM superfamily) [Transcription]. // Apoptosis-promoting RNA-binding protein TIA-1/TIAR (RRM superfamily) [RNA processing and modification  Translation  ribosomal structure and biogenesis]. // Predicted RNA-binding protein SEB4 (RRM superfamily) [General function prediction only]. // RNA-binding protein musashi/mRNA cleavage and polyadenylation factor I complex  subunit HRP1 [RNA processing and modification].	SG	2:01	T0495310.2
Qrob_T0516300.2	Qrob_H2.3_Sc0000223	Chr2	102644808	102648459	3652	(M=1) KOG0192//KOG0194//KOG0197//KOG0444//KOG0472//KOG0532//KOG0618//KOG1023//KOG1187//KOG4194 - Tyrosine kinase specific for activated (GTP-bound) p21cdc42Hs [Signal transduction mechanisms]. // Protein tyrosine kinase [Signal transduction mechanisms]. // Tyrosine kinases [Signal transduction mechanisms]. // Cytoskeletal regulator Flightless-I (contains leucine-rich and gelsolin repeats) [Cytoskeleton]. // Leucine-rich repeat protein [Function unknown]. // Leucine-rich repeat (LRR) protein  contains calponin homology domain [Cytoskeleton]. // Serine/threonine phosphatase 2C containing leucine-rich repeats  similar to SCN circadian oscillatory protein (SCOP) [Signal transduction mechanisms]. // Natriuretic peptide receptor  guanylate cyclase [Signal transduction mechanisms]. // Serine/threonine protein kinase [Signal transduction mechanisms]. // Membrane glycoprotein LIG-1 [Signal transduction mechanisms].	SG	2:01	T0516300.2
Qrob_T0519140.2	Qrob_H2.3_Sc0000483	Chr1	44458231	44453121	5111	(M=1) K11671 - nuclear factor related to kappa-B-binding protein	SG	2:01	T0519140.2
Qrob_T0523500.2	Qrob_H2.3_Sc0000464	Chr5	23755324	23752573	2752	(M=1) PTHR24015:SF156 - OS08G0162200 PROTEIN	SG	NA	T0523500.2
Qrob_T0541070.2	Qrob_H2.3_Sc0000683	Chr5	205138	208687	3550	(M=1) KOG0192//KOG0194//KOG0197//KOG0198//KOG0472//KOG0581//KOG0618//KOG1026//KOG1095//KOG1187 - Tyrosine kinase specific for activated (GTP-bound) p21cdc42Hs [Signal transduction mechanisms]. // Protein tyrosine kinase [Signal transduction mechanisms]. // Tyrosine kinases [Signal transduction mechanisms]. // MEKK and related serine/threonine protein kinases [Signal transduction mechanisms]. // Leucine-rich repeat protein [Function unknown]. // Mitogen-activated protein kinase kinase (MAP2K) [Signal transduction mechanisms]. // Serine/threonine phosphatase 2C containing leucine-rich repeats  similar to SCN circadian oscillatory protein (SCOP) [Signal transduction mechanisms]. // Nerve growth factor receptor TRKA and related tyrosine kinases [Signal transduction mechanisms  Intracellular trafficking  secretion  and vesicular transport]. // Protein tyrosine kinase [Signal transduction mechanisms]. // Serine/threonine protein kinase [Signal transduction mechanisms].	SG	2:01	T0541070.2
Qrob_T0543290.2	Qrob_H2.3_Sc0000447	Chr10	22482021	22483232	1212	(M=1) KOG0162//KOG0307//KOG0566//KOG1830//KOG1923//KOG1924//KOG1984//KOG1985 - Myosin class I heavy chain [Cytoskeleton]. // Vesicle coat complex COPII  subunit SEC31 [Intracellular trafficking  secretion  and vesicular transport]. // Inositol-1 4 5-triphosphate 5-phosphatase (synaptojanin)  INP51/INP52/INP53 family [Intracellular trafficking  secretion  and vesicular transport]. // Wiskott Aldrich syndrome proteins [Cytoskeleton]. // Rac1 GTPase effector FRL [Signal transduction mechanisms  Cytoskeleton]. // RhoA GTPase effector DIA/Diaphanous [Signal transduction mechanisms  Cytoskeleton]. // Vesicle coat complex COPII  subunit SFB3 [Intracellular trafficking  secretion  and vesicular transport]. // Vesicle coat complex COPII  subunit SEC24/subunit SFB2 [Intracellular trafficking  secretion  and vesicular transport].	SG	1:01	T0543290.2
Qrob_T0563310.2	Qrob_H2.3_Sc0000009	Chr10	20659422	20661023	1602	(M=1) PTHR11071:SF244 - CYCLOPHILIN-LIKE PEPTIDYL-PROLYL CIS-TRANS ISOMERASE FAMILY PROTEIN (PTHR11071:SF244)	SG	NA	T0563310.2
Qrob_T0576320.2	Qrob_H2.3_Sc0000738	Chr11	18059758	18058197	1562	"(M=1) PTHR10742:SF97 - HETERODISULFIDE REDUCTASE, SUBUNIT A"	SG	2:01	T0576320.2
Qrob_T0603090.2	Qrob_H2.3_Sc0000639	Chr8	27900954	27902495	1542	(M=1) K11380 - NuA3 HAT complex component NTO1	SG	1:01	T0603090.2
Qrob_T0612590.2	Qrob_H2.3_Sc0000047	Chr9	14511911	14516053	4143	(M=1) KOG0192//KOG0194//KOG0197//KOG0444//KOG0472//KOG0581//KOG0618//KOG1026//KOG1095//KOG1187 - Tyrosine kinase specific for activated (GTP-bound) p21cdc42Hs [Signal transduction mechanisms]. // Protein tyrosine kinase [Signal transduction mechanisms]. // Tyrosine kinases [Signal transduction mechanisms]. // Cytoskeletal regulator Flightless-I (contains leucine-rich and gelsolin repeats) [Cytoskeleton]. // Leucine-rich repeat protein [Function unknown]. // Mitogen-activated protein kinase kinase (MAP2K) [Signal transduction mechanisms]. // Serine/threonine phosphatase 2C containing leucine-rich repeats  similar to SCN circadian oscillatory protein (SCOP) [Signal transduction mechanisms]. // Nerve growth factor receptor TRKA and related tyrosine kinases [Signal transduction mechanisms  Intracellular trafficking  secretion  and vesicular transport]. // Protein tyrosine kinase [Signal transduction mechanisms]. // Serine/threonine protein kinase [Signal transduction mechanisms].	SG	2:01	T0612590.2
Qrob_T0612790.2	Qrob_H2.3_Sc0000047	Chr9	14735736	14737032	1297	(M=1) K10143 - E3 ubiquitin-protein ligase RFWD2 [EC:6.3.2.19]	SG	2:01	T0612790.2
Qrob_T0632410.2	Qrob_H2.3_Sc0000269	Chr2	26085412	26086612	1201	(M=1) KOG0192//KOG0193//KOG0194//KOG0197//KOG0198//KOG0200//KOG0595//KOG1094//KOG1187//KOG3653 - Tyrosine kinase specific for activated (GTP-bound) p21cdc42Hs [Signal transduction mechanisms]. // Serine/threonine protein kinase RAF [Signal transduction mechanisms]. // Protein tyrosine kinase [Signal transduction mechanisms]. // Tyrosine kinases [Signal transduction mechanisms]. // MEKK and related serine/threonine protein kinases [Signal transduction mechanisms]. // Fibroblast/platelet-derived growth factor receptor and related receptor tyrosine kinases [Signal transduction mechanisms]. // Serine/threonine-protein kinase involved in autophagy [Posttranslational modification  protein turnover  chaperones  Intracellular trafficking  secretion  and vesicular transport  Signal transduction mechanisms]. // Discoidin domain receptor DDR1 [Signal transduction mechanisms]. // Serine/threonine protein kinase [Signal transduction mechanisms]. // Transforming growth factor beta/activin receptor subfamily of serine/threonine kinases [Signal transduction mechanisms].	SG	1:01	T0632410.2
Qrob_T0643650.2	Qrob_H2.3_Sc0000627	Chr7	48647073	48648702	1630	(M=1) PTHR24015:SF169 - PENTATRICOPEPTIDE (PPR) REPEAT-CONTAINING PROTEIN	SG	1:01	T0643650.2
Qrob_T0647940.2	Qrob_H2.3_Sc0000550	Chr5	31367660	31368783	1124	(M=1) K04712 - sphingolipid delta-4 desaturase [EC:1.14.-.-]	SG	2:01	T0647940.2
Qrob_T0653790.2	Qrob_H2.3_Sc0000029	Chr5	21144158	21145419	1262	(M=1) PTHR23024:SF93 - CARBOXYLESTERASE 17-RELATED (PTHR23024:SF93)	SG	1:01	T0653790.2
Qrob_T0662330.2	Qrob_H2.3_Sc0000684	Chr6	32375905	32368279	7627	(M=1) K11844 - ubiquitin carboxyl-terminal hydrolase 16/45 [EC:3.1.2.15]	SG	1:01	T0662330.2
Qrob_T0663030.2	Qrob_H2.3_Sc0000791	Chr11	46127631	46126515	1117	(M=1) PF03824 - High-affinity nickel-transport protein	SG	2:01	T0663030.2
Qrob_T0666140.2	Qrob_H2.3_Sc0000672	Chr6	25707447	25709535	2089	(M=1) PTHR22884:SF95 - SET DOMAIN CONTAINING PROTEIN	SG	NA	T0666140.2
Qrob_T0667570.2	Qrob_H2.3_Sc0000843	Chr10	23882039	23884191	2153	(M=1) KOG2432 - Uncharacterized conserved protein [Function unknown].	SG	2:01	T0667570.2
Qrob_T0682710.2	Qrob_H2.3_Sc0000098	Chr3	44779699	44780410	712	(M=1) K10251 - beta-keto reductase [EC:1.1.1.-]	SG	2:01	T0682710.2
Qrob_T0692890.2	Qrob_H2.3_Sc0000270	Chr7	33704078	33701871	2208	(M=1) PTHR23315:SF63 - U-BOX DOMAIN-CONTAINING PROTEIN 16 (PTHR23315:SF63)	SG	NA	T0692890.2
Qrob_T0705310.2	Qrob_H2.3_Sc0000763	Chr2	106174443	106171658	2786	(M=1) PTHR12683:SF10 - PREDICTED PROTEIN	SG	2:01	T0705310.2
Qrob_T0723290.2	Qrob_H2.3_Sc0000824	Chr6	8159539	8162679	3141	(M=1) KOG1947//KOG4422 - Leucine rich repeat proteins  some proteins contain F-box [General function prediction only]. // Uncharacterized conserved protein [Function unknown].	SG	NA	T0723290.2
Qrob_T0727750.2	Qrob_H2.3_Sc0000519	Chr3	52624232	52626350	2119	(M=1) PTHR21461:SF10 - gb def: CG12715-PA	SG	2:01	T0727750.2
Qrob_T0728120.2	Qrob_H2.3_Sc0000011	Chr6	55950526	55952008	1483	(M=1) KOG0192//KOG0197//KOG0199//KOG0595//KOG1187//KOG4278 - Tyrosine kinase specific for activated (GTP-bound) p21cdc42Hs [Signal transduction mechanisms]. // Tyrosine kinases [Signal transduction mechanisms]. // ACK and related non-receptor tyrosine kinases [Signal transduction mechanisms]. // Serine/threonine-protein kinase involved in autophagy [Posttranslational modification  protein turnover  chaperones  Intracellular trafficking  secretion  and vesicular transport  Signal transduction mechanisms]. // Serine/threonine protein kinase [Signal transduction mechanisms]. // Protein tyrosine kinase [Signal transduction mechanisms].	SG	2:01	T0728120.2
Qrob_T0729230.2	Qrob_H2.3_Sc0000733	Chr1	7804274	7803641	634	(M=1) PTHR11158 - MSF1/PX19 RELATED	SG	2:01	T0729230.2
Qrob_T0738330.2	Qrob_H2.3_Sc0000450	Chr10	24619751	24621917	2167	(M=1) PTHR31874:SF1 - CCT MOTIF FAMILY PROTEIN-RELATED (PTHR31874:SF1)	SG	2:01	T0738330.2
Qrob_T0746150.2	Qrob_H2.3_Sc0000915	Chr12	14572533	14575813	3281	(M=1) PTHR24420//PTHR24420:SF663 - LEUCINE-RICH REPEAT RECEPTOR-LIKE PROTEIN KINASE // SUBFAMILY NOT NAMED	SG	1:01	T0746150.2
Qrob_T0757480.2	Qrob_H2.3_Sc0000973	Chr11	18627679	18628952	1274	(M=1) PTHR24015:SF155 - PENTATRICOPEPTIDE (PPR) REPEAT-CONTAINING PROTEIN	SG	1:01	T0757480.2
Qrob_T0004310.2	Qrob_H2.3_Sc0000008	Chr8	48754375	48750176	4200	(M=1) PTHR31072:SF2 - TRANSCRIPTION FACTOR TCP2-RELATED (PTHR31072:SF2)	SG	2:01	T0004310.2
Qrob_T0134800.2	Qrob_H2.3_Sc0000182	Qrob_H2.3_Sc0000182	420702	423874	3173	(M=1) K12617 - DNA topoisomerase 2-associated protein PAT1	SG	2:01	T0134800.2
Qrob_T0328410.2	Qrob_H2.3_Sc0000088	Chr12	20645414	20646996	1583	(M=1) PTHR31348:SF3 - EID1-LIKE F-BOX PROTEIN 3 (PTHR31348:SF3)	SG	2:01	T0328410.2
Qrob_T0379640.2	Qrob_H2.3_Sc0000566	Chr6	25413914	25411310	2605	(M=1) PTHR14369 - SURFEIT LOCUS PROTEIN 6	SG	1:01	T0379640.2
Qrob_T0408620.2	Qrob_H2.3_Sc0000346	Chr8	15537640	15538922	1283	(M=1) PTHR31415:SF3 - LATE EMBRYOGENESIS ABUNDANT HYDROXYPROLINE-RICH GLYCOPROTEIN (PTHR31415:SF3)	SG	2:01	T0408620.2
Qrob_T0418360.2	Qrob_H2.3_Sc0000204	Chr6	56206520	56204730	1791	(M=1) PTHR10593//PTHR10593:SF21 - SERINE/THREONINE-PROTEIN KINASE RIO // SUBFAMILY NOT NAMED	SG	2:01	T0418360.2
Qrob_T0472090.2	Qrob_H2.3_Sc0000245	Chr2	1044765	1042689	2077	(M=1) KOG0751//KOG0752//KOG0756//KOG0757//KOG0758//KOG0760//KOG0761//KOG0764//KOG0765//KOG0768 - Mitochondrial aspartate/glutamate carrier protein Aralar/Citrin (contains EF-hand Ca2+-binding domains) [Energy production and conversion]. // Mitochondrial solute carrier protein [Energy production and conversion]. // Mitochondrial tricarboxylate/dicarboxylate carrier proteins [Energy production and conversion]. // Mitochondrial carrier protein - Rim2p/Mrs12p [Energy production and conversion]. // Mitochondrial carnitine-acylcarnitine carrier protein [Energy production and conversion]. // Mitochondrial carrier protein MRS3/4 [Energy production and conversion]. // Mitochondrial carrier protein CGI-69 [Energy production and conversion]. // Mitochondrial FAD carrier protein [Energy production and conversion]. // Predicted mitochondrial carrier protein [Energy production and conversion]. // Mitochondrial carrier protein PET8 [Energy production and conversion].	SG	2:01	T0472090.2
Qrob_T0516340.2	Qrob_H2.3_Sc0000232	Chr2	74353256	74348486	4771	(M=1) PF10291 - Muniscin C-terminal mu homology domain	SG	NA	T0516340.2
Qrob_T0558960.2	Qrob_H2.3_Sc0000425	Chr12	27046383	27044602	1782	(M=1) PTHR31348:SF4 - PHYTOCHROME A-ASSOCIATED F-BOX PROTEIN (PTHR31348:SF4)	SG	1:01	T0558960.2
Qrob_T0568790.2	Qrob_H2.3_Sc0000594	Chr6	4716434	4711231	5204	(M=1) 1.17.4.2 - Ribonucleoside-triphosphate reductase.	SG	1:01	T0568790.2
Qrob_T0070890.2	Qrob_H2.3_Sc0000091	Chr2	104731908	104737499	5592	(M=1) 3.4.11.1 - Leucyl aminopeptidase.	SG	2:01	T0070890.2
Qrob_T0087470.2	Qrob_H2.3_Sc0000077	Chr4	9378844	9382444	3601	(M=1) PTHR11413:SF45 - CYSTEINE PROTEINASE INHIBITOR 1 (PTHR11413:SF45)	SG	2:01	T0087470.2
Qrob_T0120290.2	Qrob_H2.3_Sc0000123	Chr7	11286145	11281208	4938	(M=1) 2.1.1.14 - 5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase.	SG	2:01	T0120290.2
Qrob_T0123280.2	Qrob_H2.3_Sc0000452	Chr2	79629422	79638745	9324	(M=1) 2.7.7.9 - UTP--glucose-1-phosphate uridylyltransferase.	SG	2:01	T0123280.2
Qrob_T0130610.2	Qrob_H2.3_Sc0000130	Chr7	37279476	37282511	3036	(M=1) K13091 - RNA-binding protein 39	SG	2:01	T0130610.2
Qrob_T0153230.2	Qrob_H2.3_Sc0000047	Chr9	15586816	15590850	4035	(M=1) K09598 - signal peptide peptidase-like 3 [EC:3.4.23.-]	SG	2:01	T0153230.2
Qrob_T0174450.2	Qrob_H2.3_Sc0000061	Qrob_H2.3_Sc0000061	145333	143418	1916	(M=1) K03943 - NADH dehydrogenase (ubiquinone) flavoprotein 2 [EC:1.6.5.3 1.6.99.3]	SG	2:01	T0174450.2
Qrob_T0178280.2	Qrob_H2.3_Sc0000043	Chr2	41781009	41785019	4011	(M=1) K01761 - methionine-gamma-lyase [EC:4.4.1.11]	SG	2:01	T0178280.2
Qrob_T0200130.2	Qrob_H2.3_Sc0000179	Chr6	44021536	44017519	4018	"(M=1) PTHR23083//PTHR23083:SF388 - TETRATRICOPEPTIDE REPEAT PROTEIN, TPR // SUBFAMILY NOT NAMED"	SG	2:01	T0200130.2
Qrob_T0211560.2	Qrob_H2.3_Sc0000521	Chr8	62817977	62814784	3194	(M=1) K01859 - chalcone isomerase [EC:5.5.1.6]	SG	1:01	T0211560.2
Qrob_T0225390.2	Qrob_H2.3_Sc0000216	Chr11	1425234	1429111	3878	(M=1) K03868 - RING-box protein 1	SG	NA	T0225390.2
Qrob_T0244150.2	Qrob_H2.3_Sc0000035	Chr1	33419730	33422835	3106	(M=1) K11094 - U2 small nuclear ribonucleoprotein B''	SG	2:01	T0244150.2
Qrob_T0272270.2	Qrob_H2.3_Sc0000157	Chr7	31692645	31697964	5320	(M=1) PTHR22937:SF18 - OS08G0151700 PROTEIN	SG	1:01	T0272270.2
Qrob_T0279510.2	Qrob_H2.3_Sc0000081	Chr6	1730042	1729202	841	(M=1) K02692 - photosystem I subunit II	SG	2:01	T0279510.2
Qrob_T0301020.2	Qrob_H2.3_Sc0000236	Chr4	38220297	38219366	932	(M=1) K16285 - RING/U-box domain-containing protein [EC:2.3.2.27]	SG	2:01	T0301020.2
Qrob_T0403390.2	Qrob_H2.3_Sc0000379	Chr11	2773817	2778287	4471	(M=1) PTHR10381//PTHR10381:SF5 - ATP-DEPENDENT CLP PROTEASE PROTEOLYTIC SUBUNIT // SUBFAMILY NOT NAMED	SG	2:01	T0403390.2
Qrob_T0465430.2	Qrob_H2.3_Sc0000001	Chr6	49577054	49580227	3174	(M=1) PTHR15081 - NUCLEAR AUTOANTIGENIC SPERM PROTEIN (NASP)-RELATED	SG	2:01	T0465430.2
Qrob_T0472290.2	Qrob_H2.3_Sc0000037	Chr11	51928672	51919513	9160	(M=1) KOG0195//KOG0507//KOG0508//KOG0509//KOG0510//KOG0521//KOG0705//KOG4177//KOG4214//KOG4412 - Integrin-linked kinase [Signal transduction mechanisms]. // CASK-interacting adaptor protein (caskin) and related proteins with ankyrin repeats and SAM domain [Signal transduction mechanisms]. // Ankyrin repeat protein [General function prediction only]. // Ankyrin repeat and DHHC-type Zn-finger domain containing proteins [General function prediction only]. // Ankyrin repeat protein [General function prediction only]. // Putative GTPase activating proteins (GAPs) [Signal transduction mechanisms]. // GTPase-activating protein Centaurin gamma (contains Ras-like GTPase  PH and ankyrin repeat domains) [Signal transduction mechanisms]. // Ankyrin [Cell wall/membrane/envelope biogenesis]. // Myotrophin and similar proteins [Transcription]. // 26S proteasome regulatory complex  subunit PSMD10 [Posttranslational modification  protein turnover  chaperones].	SG	2:01	T0472290.2
Qrob_T0497780.2	Qrob_H2.3_Sc0000637	Chr8	55961783	55969509	7727	(M=1) PTHR22847//PTHR22847:SF358 - WD40 REPEAT PROTEIN // SUBFAMILY NOT NAMED (PTHR22847:SF358)	SG	NA	T0497780.2
