n_snps	gene
1	T0088470.2_QL07p040847
0	T0089760.2_QL05p024997
12	T0089890.2_QL02p018902
3	T0090110.2_QL07p039162
17	T0090820.2_QL07p038153
16	T0090900.2_QL07p038072
2	T0093000.2_QL04p052179
10	T0093480.2_QL10p004119
6	T0093680.2_QL10p003811
9	T0096770.2_QL06p035742
7	T0099290.2_QL06p038381
7	T0102450.2_QL02p084735
7	T0103080.2_QL03p043536
12	T0104420.2_QL11p017903
3	T0105010.2_QL05p009063
14	T0106940.2_QL12p019781
1	T0107060.2_QL12p019934
10	T0107110.2_QL12p019966
5	T0112320.2_QL12p004141
8	T0112600.2_QL12p004433
2	T0114110.2_QL03p054504
3	T0120160.2_QL07p017416
8	T0120290.2_QL07p017833
2	T0121360.2_QL02p073223
4	T0122500.2_QL01p020570
7	T0123280.2_QL02p064794
10	T0124060.2_QL09p023443
3	T0124710.2_QL01p034905
2	T0127020.2_QL01p024421
4	T0130610.2_QL06p031249
10	T0131220.2_QL07p036440
2	T0131370.2_QL07p036715
8	T0132040.2_QL08p008078
3	T0134800.2_QL04p073937
2	T0136420.2_QL09p040137
4	T0137480.2_QL12p006208
2	T0145250.2_QL07p001538
1	T0147230.2_QL04p047996
11	T0149130.2_QL12p032548
11	T0151270.2_QL10p005632
8	T0152220.2_QL12p030895
5	T0152530.2_QL09p013155
6	T0152730.2_QL09p013403
2	T0153230.2_QL09p013821
9	T0173110.2_QL02p099486
2	T0174450.2_QL03p046056
2	T0177540.2_QL12p021879
4	T0178280.2_QL02p028086
4	T0178450.2_QL05p019190
10	T0178900.2_QL03p006918
7	T0180310.2_QL07p003998
6	T0181850.2_QL06p014383
1	T0183180.2_QL06p033553
8	T0186120.2_QL09p033728
2	T0188100.2_QL04p050764
8	T0188250.2_QL04p069054
10	T0188950.2_QL10p040880
11	T0189540.2_QL10p042354
14	T0200530.2_QL06p032401
14	T0200540.2_QL06p032420
2	T0200550.2_QL06p032458
4	T0200590.2_QL06p032497
5	T0200840.2_QL06p032910
2	T0201490.2_QL08p061129
12	T0201810.2_QL08p001531
2	T0202290.2_QL03p068106
2	T0204240.2_QL02p012950
3	T0204250.2_QL02p012967
11	T0205230.2_QL02p014292
2	T0206040.2_QL11p053448
2	T0206170.2_QL11p053294
5	T0208700.2_QL03p002736
4	T0208740.2_QL03p002812
12	T0210740.2_QL06p018506
2	T0211100.2_QL10p025782
5	T0211560.2_QL08p057674
6	T0213120.2_QL05p084430
3	T0213790.2_QL07p037428
1	T0213800.2_QL07p037435
6	T0214960.2_QL12p036114
9	T0215910.2_QL12p027320
5	T0221170.2_QL10p040171
2	T0225390.2_QL11p000957
4	T0225400.2_QL11p000993
4	T0225690.2_QL07p005855
8	T0228250.2_QL02p026060
2	T0228290.2_QL02p026125
2	T0229880.2_QL03p029097
7	T0231260.2_QL02p067876
3	T0231390.2_QL02p068113
2	T0232730.2_QL02p034778
6	T0237000.2_QL01p039612
1	T0238920.2_QL06p053730
3	T0239060.2_QL06p053011
9	T0240820.2_QL07p030735
5	T0240910.2_QL07p031542
3	T0244150.2_QL01p025860
7	T0244160.2_QL01p025894
15	T0244370.2_QL01p026245
10	T0245370.2_QL02p089699
7	T0251500.2_QL11p056469
12	T0252040.2_QL01p015927
1	T0252880.2_QL12p025906
13	T0259550.2_QL07p036804
7	T0262820.2_QL09p032559
10	T0264720.2_QL12p029450
3	T0265180.2_QL07p025053
3	T0265960.2_QL07p045248
10	T0268730.2_QL01p007505
6	T0270980.2_QL02p075942
4	T0272270.2_QL10p026760
2	T0274880.2_QL11p048579
5	T0275540.2_QL06p006981
2	T0276670.2_QL09p031581
0	T0276790.2_QL11p010296
15	T0277850.2_QL11p027607
13	T0279420.2_QL06p003211
2	T0279510.2_QL06p003010
7	T0279560.2_QL06p002922
2	T0279720.2_QL01p009749
16	T0280040.2_QL01p024916
2	T0283010.2_QL10p040426
3	T0283240.2_QL06p051910
3	T0290740.2_QL12p023667
0	T0290750.2_QL12p023612
1	T0291930.2_QL11p046618
7	T0295690.2_QL02p036073
1	T0296180.2_QL06p035302
5	T0297560.2_QL02p019654
18	T0297570.2_QL02p019684
2	T0301020.2_QL04p067026
13	T0301030.2_QL04p067039
25	T0304420.2_QL02p016456
7	T0304470.2_QL02p016542
8	T0304590.2_QL02p016696
9	T0304850.2_QL02p017067
5	T0304870.2_QL02p017094
16	T0310620.2_QL05p084380
6	T0311930.2_QL05p072729
5	T0313190.2_QL07p026733
8	T0313440.2_QL07p026395
3	T0313490.2_QL08p004612
2	T0316630.2_QL05p063925
6	T0317700.2_QL08p044839
4	T0320640.2_QL03p038766
2	T0321300.2_QL05p009200
7	T0322880.2_QL01p026813
1	T0324380.2_QL02p061718
9	T0326720.2_QL02p001442
8	T0328120.2_QL12p037915
3	T0328410.2_QL12p022505
2	T0328480.2_QL12p022621
8	T0330250.2_QL05p060338
3	T0331600.2_QL06p034656
11	T0332850.2_QL07p023168
5	T0332950.2_QL07p022812
10	T0332960.2_QL01p023614
12	T0334920.2_QL09p043970
2	T0336130.2_QL01p039168
4	T0337810.2_QL02p005456
3	T0340080.2_QL02p099906
17	T0340770.2_QL05p039400
8	T0340860.2_QL05p039258
6	T0345400.2_QL12p032791
6	T0345420.2_QL12p032840
6	T0346100.2_QL06p050576
3	T0349670.2_QL04p050260
8	T0351630.2_QL04p061548
10	T0357150.2_QL05p020644
3	T0357720.2_QL04p035514
14	T0361130.2_QL10p025473
9	T0361150.2_QL10p025522
5	T0362810.2_QL01p007989
3	T0367110.2_QL04p068413
7	T0372250.2_QL02p078595
5	T0374810.2_QL02p029599
4	T0379640.2_QL06p021792
4	T0380890.2_QL04p059212
4	T0382640.2_QL04p064780
3	T0383070.2_QL07p034143
8	T0388510.2_QL02p051539
10	T0391590.2_QL07p033519
6	T0391930.2_QL01p002786
15	T0392860.2_QL09p024696
2	T0396680.2_QL09p017536
13	T0399150.2_QL04p054287
2	T0400850.2_QL05p029832
4	T0403390.2_QL12p001081
3	T0403640.2_QL10p021377
3	T0406260.2_QL07p021979
2	T0408620.2_QL08p013247
12	T0410140.2_QL05p040208
12	T0411840.2_QL07p018789
8	T0413110.2_QL12p033918
4	T0413250.2_QL12p034384
2	T0418340.2_QL06p049237
4	T0418360.2_QL06p049165
4	T0422720.2_QL02p023785
9	T0424710.2_QL12p023119
3	T0425450.2_QL93p0138_0014
4	T0426040.2_QL07p000160
3	T0429960.2_QL06p002632
3	T0429990.2_QL06p002678
8	T0430540.2_QL11p034831
2	T0432820.2_QL01p055579
6	T0433000.2_QL02p007897
5	T0434080.2_QL08p059462
2	T0434780.2_QL06p010760
9	T0435820.2_QL09p005748
4	T0436210.2_QL08p063638
2	T0436220.2_QL08p063642
0	T0437060.2_QL02p062506
5	T0437630.2_QL08p045841
6	T0437930.2_QL02p021874
2	T0439920.2_QL12p027792
12	T0439950.2_QL12p027872
10	T0440000.2_QL12p027948
13	T0440150.2_QL07p000651
10	T0448380.2_QL10p044299
5	T0448480.2_QL02p014419
10	T0454970.2_QL08p056686
1	T0457120.2_QL08p065113
1	T0458950.2_QL10p000189
4	T0464270.2_QL02p094407
8	T0464560.2_QL09p019059
5	T0465430.2_QL06p044258
9	T0468410.2_QL01p045245
12	T0468470.2_QL08p020494
3	T0472090.2_QL02p000371
1	T0472290.2_QL11p057597
9	T0472310.2_QL11p057134
8	T0478260.2_QL09p017991
14	T0479090.2_QL04p073107
5	T0483750.2_QL03p048967
10	T0484720.2_QL03p026982
2	T0484830.2_QL05p087376
2	T0485820.2_QL05p050063
8	T0489190.2_QL12p042578
9	T0493470.2_QL03p021384
4	T0495310.2_QL06p033219
3	T0495840.2_QL08p041841
2	T0496770.2_QL10p016556
5	T0497670.2_QL08p052649
8	T0497780.2_QL08p052527
12	T0497790.2_QL08p052511
8	T0499140.2_QL03p009323
3	T0500260.2_QL03p041904
4	T0502480.2_QL12p016157
3	T0503420.2_QL10p023780
3	T0505320.2_QL02p057721
4	T0507370.2_QL07p000311
7	T0509210.2_QL10p004544
4	T0511130.2_QL07p032733
6	T0516300.2_QL02p091613
4	T0516340.2_QL02p097708
2	T0517740.2_QL02p062838
2	T0517770.2_QL02p062862
6	T0517960.2_QL05p058341
2	T0519140.2_QL01p035172
0	T0519170.2_QL03p070309
6	T0520580.2_QL07p048679
1	T0523460.2_QL05p027042
4	T0523490.2_QL05p026979
2	T0523500.2_QL05p026958
10	T0533440.2_QL06p033947
6	T0533480.2_QL06p033989
13	T0535970.2_QL01p021969
5	T0541070.2_QL05p000551
5	T0541480.2_QL12p014161
5	T0542140.2_QL12p041230
6	T0543290.2_QL10p019931
6	T0543300.2_QL10p019931
11	T0546070.2_QL02p063912
2	T0551210.2_QL06p009632
1	T0558960.2_QL12p028562
11	T0559150.2_QL12p028391
7	T0559860.2_QL01p030425
2	T0563310.2_QL10p023271
5	T0564850.2_QL12p031313
4	T0567500.2_QL12p007993
17	T0567690.2_QL12p007705
8	T0568790.2_QL06p005493
6	T0571140.2_QL01p012343
14	T0572060.2_QL08p056306
2	T0573790.2_QL04p005176
3	T0576320.2_QL11p019400
16	T0577100.2_QL03p053673
2	T0580420.2_QL06p044316
10	T0580480.2_QL01p016949
6	T0583840.2_QL02p021264
11	T0583940.2_QL02p021402
1	T0584630.2_QL12p006383
2	T0586450.2_QL10p050526
6	T0589130.2_QL02p027371
3	T0594400.2_QL09p012952
12	T0598060.2_QL04p095880
7	T0598420.2_QL11p054809
10	T0600570.2_QL03p035767
7	T0602160.2_QL01p022263
1	T0603090.2_QL08p025144
11	T0603840.2_QL06p053171
5	T0608200.2_QL01p027360
15	T0609750.2_QL02p072992
4	T0609910.2_QL02p072765
5	T0609950.2_QL02p072700
0	T0612010.2_QL05p003927
3	T0612090.2_QL05p003768
5	T0612590.2_QL09p014617
2	T0612610.2_QL09p014600
2	T0612790.2_QL09p014359
4	T0614860.2_QL10p006899
20	T0616170.2_QL03p014223
8	T0618890.2_QL05p027590
5	T0619560.2_QL02p011137
7	T0624320.2_QL02p008438
6	T0625210.2_QL02p056192
15	T0627340.2_QL09p037774
7	T0628690.2_QL02p100166
0	T0630820.2_QL02p016125
8	T0631360.2_QL06p012004
9	T0632110.2_QL06p052095
3	T0632410.2_QL02p015999
7	T0633270.2_QL12p041325
9	T0641260.2_QL06p009017
0	T0641730.2_QL05p008061
2	T0643650.2_QL07p045890
2	T0647940.2_QL05p039803
5	T0653050.2_QL07p003736
2	T0653160.2_QL07p011116
2	T0653790.2_QL01p044338
7	T0656130.2_QL08p032142
7	T0656180.2_QL10p037598
10	T0656370.2_QL01p015243
11	T0657130.2_QL07p048577
4	T0657660.2_QL08p027367
8	T0658550.2_QL09p039591
6	T0659760.2_QL03p054277
0	T0661920.2_QL07p016401
4	T0662330.2_QL06p025007
1	T0662790.2_QL12p033243
2	T0663030.2_QL11p050718
2	T0665420.2_QL06p039052
2	T0666140.2_QL06p021633
3	T0667570.2_QL10p022556
3	T0668620.2_QL08p036617
19	T0668830.2_QL07p034923
15	T0674130.2_QL08p011843
11	T0674370.2_QL12p032420
8	T0674880.2_QL09p009347
10	T0676330.2_QL02p011979
1	T0676340.2_QL02p011991
9	T0676890.2_QL12p024915
2	T0679260.2_QL08p044083
7	T0680320.2_QL10p000641
3	T0681430.2_QL06p011803
2	T0682710.2_QL03p055902
5	T0683640.2_QL05p073209
15	T0683750.2_QL05p073090
9	T0685880.2_QL12p040186
6	T0687160.2_QL01p010068
7	T0689040.2_QL11p029182
3	T0692890.2_QL07p032599
10	T0697550.2_QL01p002136
5	T0698870.2_QL12p006175
2	T0705220.2_QL08p057874
1	T0705310.2_QL02p094105
7	T0706610.2_QL11p051533
5	T0707350.2_QL10p000862
7	T0707900.2_QL11p000791
2	T0711800.2_QL08p020849
9	T0713110.2_QL06p010877
6	T0713850.2_QL02p090317
2	T0713880.2_QL02p090262
5	T0718850.2_QL02p062253
8	T0722900.2_QL03p013767
3	T0723290.2_QL06p005970
8	T0726020.2_QL02p015336
3	T0727750.2_QL03p067497
3	T0727770.2_QL03p067524
4	T0728120.2_QL06p053545
1	T0729230.2_QL01p005297
10	T0731620.2_QL08p033115
2	T0732900.2_QL07p014602
4	T0736420.2_QL09p012344
5	T0737590.2_QL02p096254
1	T0738330.2_QL10p025240
12	T0742900.2_QL08p041707
2	T0746150.2_QL12p015831
12	T0748330.2_QL05p059401
3	T0750560.2_QL11p034241
2	T0757480.2_QL11p023725
5	T0766030.2_QL03p052462
8	T0766940.2_QL02p074797
6	T0768180.2_QL06p005873
